,Pixel_shifts
HIP101345,120.0911759516491
HIP10279,108.5388089046923
HIP103096,56.6829722058098
HIP104202,30.876255509116586
HIP104214,-0.09243798018107105
HIP104217,21.788214259919354
HIP105341,129.0428709020245
HIP107350,42.62062962065434
HIP108782,120.58932558603169
HIP112774,85.40978089042697
HIP113020,89.31192813359348
HIP113357,41.20022572726829
HIP113421,59.11111112764961
HIP114622,53.326076126898016
HIP116771,67.57725409450416
HIP117473,16.549086244594406
HIP12114,89.14859019909737
HIP12781,114.64922415116067
HIP14632,156.8437582580181
HIP1475,78.75228803474513
HIP1499,95.95493629240944
HIP16537,117.775274955291
HIP16852,137.06597727679613
HIP17378,72.84849646647916
HIP19849,34.758987820781904
HIP24813,164.3981204460599
HIP25119,92.25364217830577
HIP26381,87.56415143393357
HIP26779,91.23064247142031
HIP27435,132.00680254605106
HIP29525,109.56640101560308
HIP3093,30.00411208616143
HIP31635,50.81207791249477
HIP33226,91.9021646178194
HIP3765,45.83267798277391
HIP42074,121.91497103506431
HIP43587,96.60317404499536
HIP47080,122.28552824913042
HIP48113,110.13250949361478
HIP49081,158.15971461674948
HIP54035,-13.384283678085229
HIP544,63.01363389020125
HIP56997,93.17560135643305
HIP62145,101.9997852762301
HIP6379,52.43389635215661
HIP64924,54.34003199605032
HIP65721,99.34788341493913
HIP65859,119.2212107330705
HIP72567,101.78547207589729
HIP72659,62.70285523391627
HIP72848,70.53818444760063
HIP72875,70.10795453974508
HIP74432,54.53304783704034
HIP78459,89.21839310695924
HIP79248,73.28871463374828
HIP7981,24.95024225009066
HIP80459,75.77396898662843
HIP8102,50.343885131901914
HIP81300,81.00514651294564
HIP8362,88.08946311770362
HIP84862,-9.861194346293352
HIP85235,46.376959453134106
HIP86162,54.6020690263447
HIP86287,70.28878792587237
HIP86776,69.27575884214602
HIP86974,58.74807881210306
HIP87937,-6.1725559843162845
HIP88348,96.18419255820835
HIP89348,45.030086121380236
HIP89844,62.279499950741595
HIP9094,59.87538395151436
HIP91438,112.64097811403614
HIP93871,82.15039920383997
HIP93873,105.5994878609554
HIP95447,2.248177493356048
HIP96100,105.32987444900299
HIP96895,45.9970919314157
HIP96901,46.86701322007653
HIP97051,74.14457540880352
HIP98036,32.278980296218066
HIP98505,58.65693234645969
HIP98767,18.951222420773224
HIP98819,81.1268823999156
HIP52733,98.45809180056335
HIP27913,90.94831718846301
HIP36366,68.00757301827768
HIP12777,131.84675514792582
HIP67275,46.508585682351075
HIP70497,62.367972506924964
HIP88175,4.852507891981478
HIP114924,42.16231347241277
HIP85295,55.308128652726595
HIP71395,90.89472948044036
HIP74995,90.27454154672624
HIP80824,73.82684490946313
HIP90790,40.75417482913271
HIP13642,90.40318030080093
HIP75722,114.96365046401313
HIP12530,113.4197428202243
HIP68805,49.40431926283671
HIP48711,119.18434844465
