Column1,Column2,Column3,Column4,Column5,Column6
raa1.183,HR5478,0.000,16463.71145,0.000,t
raa1.184,HR5478,0.000,16463.71204,0.000,t
raa1.185,HR5478,0.000,16463.7127,0.000,t
raa1.186,HR5478,0.000,16463.71346,0.000,t
raa1.187,HR5478,0.000,16463.71441,0.000,t
raa1.188,HR5478,0.000,16463.71552,0.000,t
raa1.189,HR5478,0.000,16463.7169,0.000,t
raa1.190,HR5478,0.000,16463.71862,0.000,t
raa1.199,141004,-15469.293,16463.73843,-0.356,t
raa1.200,141004,-15475.786,16463.74088,-0.297,t
raa1.201,141004,-15481.794,16463.74313,-0.243,t
raa1.208,141004,-15513.490,16463.75502,0.044,t
raa1.209,141004,-15516.732,16463.75623,0.073,t
raa1.210,141004,-15519.912,16463.75743,0.101,t
raa1.214,F132124.32+3916,-21535.764,16463.77619,3.071,t
raa1.215,F132124.32+3916,-21551.713,16463.78941,3.389,t
raa1.216,F132712.11+4558,-19139.861,16463.79772,3.499,t
raa1.222,185144,4014.143,16463.81056,-2.272,t
raa1.223,185144,4013.771,16463.81115,-2.258,t
raa1.224,185144,4013.338,16463.81183,-2.241,t
raa1.225,185144,4012.830,16463.81263,-2.222,t
raa1.226,185144,4012.173,16463.81366,-2.197,t
raa1.239,K00245,5347.883,16463.85441,-0.676,t
raa1.243,K00122,5433.017,16463.8967,0.313,t
raa1.244,K00433,9472.835,16463.91121,-0.258,t
raa1.245,K02115,8449.885,16463.92851,0.443,t
raa2.384,HR5478,0.000,16464.5,0.000,t
raa2.385,HR5478,0.000,16464.70572,0.000,t
raa2.386,HR5478,0.000,16464.70638,0.000,t
raa2.387,HR5478,0.000,16464.70714,0.000,t
raa2.388,HR5478,0.000,16464.7081,0.000,t
raa2.389,HR5478,0.000,16464.70921,0.000,t
raa2.390,HR5478,0.000,16464.71059,0.000,t
raa2.391,HR5478,0.000,16464.71232,0.000,t
raa2.392,F113640.81+3911,-23446.429,16464.73313,3.892,t
raa2.393,F133146.62+2916,-23989.187,16464.74735,2.254,t
raa2.394,F150042.61+3505,-16927.978,16464.76054,1.063,t
raa2.403,185144,4071.440,16464.77752,-3.002,t
raa2.404,185144,4070.677,16464.77894,-2.967,t
raa2.405,185144,4069.894,16464.78039,-2.933,t
raa2.423,TYC2166-1977-1,13512.700,16464.84449,-2.028,t
raa2.424,TYC2166-1977-1,13510.311,16464.8457,-1.999,t
raa2.425,TYC2166-1977-1,13499.209,16464.85123,-1.866,t
raa2.426,TYC2166-1977-1,13496.769,16464.85243,-1.837,t
raa2.427,TYC2166-1977-1,13456.151,16464.87192,-1.368,t
raa2.428,K00433,9405.481,16464.87848,-0.981,t
raa3.74,HR5478,0.000,16479.70058,0.000,t
raa3.75,HR5478,0.000,16479.70153,0.000,t
raa3.76,HR5478,0.000,16479.71288,0.000,t
raa3.77,HR5478,0.000,16479.71379,0.000,t
raa3.123,K00305,7429.256,16479.79861,-1.864,t
raa3.125,K00377,2833.326,16479.81206,-0.763,t
raa3.126,K03255,7248.764,16479.82197,-1.295,t
raa4.245,HR5478,0.000,16480.691,0.000,t
raa4.246,HR5478,0.000,16480.69186,0.000,t
raa4.250,239960,15226.540,16480.71486,-6.395,t
raa4.261,159222,-6800.381,16480.73392,-1.074,t
raa4.262,GL1245B,7559.171,16480.74621,-3.128,t
raa4.263,179957,3802.407,16480.75075,-2.311,t
raa4.285,239960,15204.272,16480.81053,-4.093,t
raa5.161,HR5478,0.000,16499.73779,0.000,t
raa5.169,HR5511,0.000,16499.75848,0.000,t
raa5.177,HR5735,0.000,16499.78704,0.000,t
raa5.185,HR5903,0.000,16499.80189,0.000,t
raa5.194,HR5867,0.000,16499.81916,0.000,t
raa5.204,HR6789,0.000,16499.85891,0.000,t
raa5.210,HR6789,0.000,16499.87206,0.000,t
raa6.56,HR5478,0.000,16500.7081,0.000,t
raa6.64,HR5511,0.000,16500.72832,0.000,t
raa6.72,HR5735,0.000,16500.76828,0.000,t
raa6.80,HR5903,0.000,16500.78527,0.000,t
raa6.89,HR5867,0.000,16500.81038,0.000,t
raa6.97,HR6789,0.000,16500.82898,0.000,t
raa6.105,HR6629,0.000,16500.84397,0.000,t
raa6.110,PSNJ0136+1545,2798.576,16500.88681,1.331,t
raaa.28,HR5478,0.000,16504.7363,0.000,t
raaa.32,HR5511,0.000,16504.75251,0.000,t
raaa.35,HR5735,0.000,16504.76135,0.000,t
raaa.40,HR5867,0.000,16504.76782,0.000,t
raaa.48,HR5735,0.000,16504.8336,0.000,t
raaa.53,HR5867,0.000,16504.84024,0.000,t
raaa.56,HR6789,0.000,16504.845,0.000,t
raaa.58,HR7202,0.000,16504.84935,0.000,t
raaa.59,HR7236,0.000,16504.8523,0.000,t
raaa.60,HR7457,0.000,16504.85498,0.000,t
raaa.61,HR7466,0.000,16504.85931,0.000,t
raaa.62,HR7543,0.000,16504.8634,0.000,t
raaa.63,HR7565,0.000,16504.86624,0.000,t
raaa.64,HR7708,0.000,16504.86845,0.000,t
raaa.65,HR7757,0.000,16504.87201,0.000,t
raaa.66,HR7803,0.000,16504.87646,0.000,t
raaa.67,URANUS,1464.961,16504.89129,1.702,t
raaa.68,PSNJ0136+1545,1431.446,16504.90717,2.084,t
raaa.69,PSNJ0136+1545,1388.535,16504.92879,2.604,t
raab.61,GL699,-16825.328,16505.78517,1.345,t
raab.62,GL699,-16861.763,16505.79984,1.698,t
raab.63,GL699,-16894.382,16505.81345,2.026,t
raab.89,185144,4453.429,16505.97899,4.526,t
raab.90,185144,4452.424,16505.98224,4.604,t
raab.91,185144,4451.478,16505.98546,4.682,t
raac.13,185144,4585.530,16506.75994,-0.680,t
raac.14,185144,4583.596,16506.76232,-0.623,t
raac.15,185144,4581.562,16506.76482,-0.563,t
raac.32,186427,1802.148,16506.88379,2.097,t
raad.109,GL699,-19900.787,16515.73147,0.724,t
raad.110,GL699,-19946.544,16515.74946,1.158,t
raad.111,GL699,-19990.478,16515.76729,1.586,t
raad.146,10700,22870.596,16515.9702,-1.286,t
raad.147,10700,22867.898,16515.97134,-1.258,t
raad.148,10700,22865.249,16515.97247,-1.231,t
raae.109,GL699,-20256.067,16516.75723,1.412,t
raae.110,GL699,-20305.625,16516.77796,1.911,t
raae.111,GL699,-20354.978,16516.79998,2.441,t
raan.111,185144,3450.053,16539.70324,0.113,t
raan.112,185144,3447.259,16539.70648,0.191,t
raan.113,185144,3444.128,16539.71011,0.278,t
raan.158,10700,15553.608,16539.91395,-1.100,t
raan.159,10700,15550.833,16539.91505,-1.073,t
raan.160,10700,15548.111,16539.91613,-1.047,t
raap.170,7924,14858.800,16541.88876,-1.114,t
raap.174,7924,14829.464,16541.94055,0.132,t
raap.175,7924,14821.095,16541.95518,0.484,t
raap.176,7924,14810.084,16541.97468,0.953,t
raaq.176,4628,13857.197,16542.85549,1.402,t
raaq.177,4628,13844.470,16542.86034,1.285,t
raaq.178,4628,13832.212,16542.86497,1.173,t
raaq.182,9407,16869.232,16542.90854,-0.797,t
raaq.183,9407,16859.941,16542.91868,-0.553,t
raaq.184,9407,16850.236,16542.92918,-0.300,t
raar.133,9826,19229.302,16547.94506,0.318,t
raar.134,9826,19226.311,16547.94653,0.354,t
raar.135,9826,19223.345,16547.94798,0.389,t
raar.139,12846,21319.189,16547.97162,0.451,t
raar.140,12846,21289.337,16547.98389,0.747,t
raar.141,12846,21262.048,16547.99525,1.020,t
raat.153,200964,-19554.290,16562.65714,-1.137,t
raat.154,200964,-19598.493,16562.67411,-0.729,t
raat.155,200964,-19644.033,16562.69127,-0.316,t
raax.159,168443,-28887.270,16570.66142,2.379,t
raax.160,168443,-28935.835,16570.69029,3.074,t
raax.161,168443,-28967.324,16570.71247,3.608,t
raax.217,33643,26969.512,16571.02082,0.075,t
raax.218,33643,26948.226,16571.03078,0.315,t
raax.219,33643,26926.495,16571.04099,0.561,t
